r_cpa;COLREG;ample_time
492.25122;-2.0;26.209282
591.97327;-2.0;66.34138
507.3849;-2.0;64.33446
393.27155;-2.0;30.02422
363.35327;-2.0;3.0249538
424.5913;-2.0;12.233679
226.72409;-2.0;64.57746
485.72028;-2.0;21.953644
385.87906;-2.0;25.071747
1437.5273;-2.0;43.172
569.2095;-2.0;64.4512
363.1678;-2.0;21.068977
264.58786;-2.0;12.792445
387.25125;-2.0;6.296738
361.17017;-2.0;19.00579
407.566;-2.0;7.047392
554.64703;-2.0;12.697328
373.17322;-2.0;18.312428
376.05585;-2.0;10.984771
278.76675;-2.0;55.871643
614.16833;-2.0;92.539314
564.25836;-2.0;90.12523
359.79318;-2.0;25.969603
561.7406;-2.0;12.976247
441.34708;-2.0;64.64621
1070.8491;-2.0;89.40527
204.31958;-2.0;22.381832
340.0496;-2.0;35.880405
553.4434;-2.0;82.73579
539.1644;-2.0;53.55118
405.8934;-2.0;161.68533
880.7942;-2.0;90.96651
1075.2288;-2.0;132.66806
466.9378;-2.0;46.153053
1274.2516;-2.0;169.17213
1416.4762;-2.0;213.16231
761.44635;-2.0;89.220116
297.73923;-2.0;52.23117
1040.9127;-2.0;153.7782
244.71577;-2.0;42.116127
345.66876;-2.0;62.659725
433.17215;-2.0;11.803005
487.76968;-2.0;10.730012
341.71826;-2.0;13.442429
940.47974;-2.0;57.209076
382.69556;-2.0;21.648506
746.5655;-2.0;74.58645
400.16016;-2.0;34.12049
279.5849;-2.0;48.58107
642.62744;-2.0;59.72204
2914.2512;-2.0;146.02081
2595.6292;-2.0;90.95375
433.5314;-2.0;55.771442
363.82083;-2.0;68.6501
903.54425;-2.0;29.682396
557.0675;-2.0;18.89766
407.7416;-2.0;35.31385
296.77112;-2.0;14.953358
310.8255;-2.0;32.051205
841.29254;-2.0;52.092216
575.33563;-2.0;88.54885
644.3837;-2.0;95.80299
978.2483;-2.0;21.642359
934.38983;-2.0;95.899254
1380.8306;-2.0;87.963295
279.14233;-2.0;6.7725306
412.09778;-2.0;51.74535
3213.1907;-2.0;194.47444
1851.8928;-2.0;166.35588
529.41016;-2.0;31.216633
1955.6472;-2.0;315.75406
2003.0234;-2.0;222.71677
611.2159;-2.0;57.886578
319.41074;-2.0;81.14002
733.88965;-2.0;95.43011
457.39667;-2.0;71.352356
1396.625;-2.0;76.05306
1796.0787;-2.0;292.17667
243.17705;-2.0;34.24721
923.03467;-2.0;168.70612
4525.779;-2.0;638.0396
809.7147;-2.0;59.263195
2560.026;-2.0;105.23921
424.1057;-2.0;20.958593
409.1881;-2.0;18.97124
453.64447;-2.0;15.150073
783.5635;-2.0;96.787735
681.7698;-2.0;71.47545
3040.2686;-2.0;222.63948
572.1672;-2.0;44.38426
282.04364;-2.0;114.572975
288.30322;-2.0;24.600544
288.6047;-2.0;67.08372
1324.8053;-2.0;261.9382
1500.635;-2.0;91.55952
499.35397;-2.0;13.895045
276.41376;-2.0;29.678146
348.37894;-2.0;40.61428
280.8966;3.0;131.4824
559.4156;3.0;18.744204
409.52094;3.0;34.128284
364.20752;3.0;46.58245
744.105;3.0;58.238316
378.5484;3.0;55.37878
969.7967;3.0;131.81117
547.50104;3.0;44.72961
553.76196;3.0;56.73262
698.34033;3.0;56.8729
387.10754;3.0;30.396868
361.02704;3.0;22.426046
431.53552;3.0;1262.2177
285.84024;3.0;52.157288
469.09323;3.0;35.15859
207.2205;3.0;41.04942
825.63666;3.0;70.814285
369.9121;3.0;31.877565
553.08563;3.0;58.443104
485.50024;3.0;411.1014
376.36484;3.0;13.683162
432.17517;3.0;56.661858
770.187;3.0;61.85976
893.15;3.0;70.04545
411.83667;3.0;34.0506
405.24173;3.0;47.051804
294.5074;3.0;14.675863
466.01807;3.0;35.328674
362.63516;3.0;31.398565
556.41113;3.0;74.27719
448.60956;3.0;41.719677
366.3518;3.0;87.76921
279.14844;3.0;10.892991
295.65753;3.0;19.197485
217.53127;3.0;19.625809
401.1292;3.0;56.678413
290.84732;3.0;29.292152
434.31396;3.0;46.9033
404.52118;3.0;64.85545
566.6574;3.0;37.95303
505.93234;3.0;34.158344
409.3514;3.0;78.92231
214.75055;3.0;76.50971
566.6356;3.0;55.076508
1017.272;3.0;35.209106
442.2717;3.0;49.47157
675.65765;3.0;66.11632
755.7267;3.0;33.800182
662.8878;3.0;30.853874
464.02182;3.0;41.406616
245.00763;3.0;31.80305
229.6333;3.0;38.46188
300.65137;3.0;121.559006
660.115;3.0;123.1758
587.7145;3.0;64.98363
296.57974;3.0;21.873968
516.43207;3.0;25.10305
912.2993;3.0;118.36254
218.6461;3.0;626.44556
899.6757;3.0;20.20241
465.27524;3.0;30.787048
465.27524;3.0;64.81929
612.70044;3.0;54.06081
513.265;3.0;45.07219
455.0414;3.0;59.687202
212.62656;3.0;44.94977
320.73056;3.0;30.387781
668.0384;3.0;75.1771
285.16833;3.0;61.19826
363.59058;3.0;42.16144
377.1244;3.0;65.69412
358.04156;3.0;59.15371
261.8082;3.0;22.516119
378.5871;3.0;16.441471
379.4546;3.0;53.06928
355.40286;3.0;43.664215
305.25604;3.0;282.03592
617.8161;3.0;198.2533
697.56683;3.0;38.880966
329.65002;3.0;305.0492
322.32318;3.0;7.3240147
240.20761;3.0;15.816629
403.2973;3.0;72.17415
1015.72156;3.0;78.28578
449.47388;3.0;983.4164
360.96564;3.0;52.63578
1075.9757;3.0;15.62588
853.9479;3.0;208.02696
361.7719;3.0;45.926853
369.06363;3.0;30.166668
343.52365;3.0;59.373085
452.45874;3.0;76.17519
411.01428;3.0;34.05817
734.14954;3.0;23.78737
854.0023;3.0;111.48674
479.61078;3.0;37.196304
983.5522;3.0;77.18086
611.4339;3.0;41.447166
456.66953;3.0;43.482235
534.90906;3.0;57.154713
445.6934;3.0;36.163692
255.69122;3.0;45.62203
514.91254;3.0;79.774635
535.01306;3.0;71.113174
343.51434;3.0;47.105125
479.13443;3.0;57.77244
479.13443;3.0;84.43335
306.08447;3.0;39.040234
351.36722;3.0;39.633575
351.36722;3.0;35.012493
361.3194;3.0;71.70058
292.02692;3.0;93.543755
1488.2065;3.0;197.3797
621.5579;3.0;36.671696
571.27155;3.0;42.7464
709.228;3.0;29.729027
570.8948;3.0;79.669716
852.56805;3.0;98.25341
975.8194;3.0;176.24007
403.5682;3.0;1048.6434
411.76285;3.0;22.39098
547.10406;3.0;63.33613
780.7009;3.0;109.17549
296.03732;3.0;45.234287
258.7767;3.0;20.97704
268.0401;3.0;13.381699
494.70557;3.0;97.92808
423.47186;3.0;31.127083
227.00214;3.0;48.624104
915.19366;3.0;73.11096
500.07953;3.0;83.39988
607.6761;3.0;47.47303
413.1319;3.0;28.215961
554.7404;3.0;50.10124
370.76236;3.0;73.487175
294.7326;3.0;89.60192
237.49513;3.0;192.66986
434.7002;3.0;62.989506
1384.3586;3.0;145.22737
244.19443;3.0;64.38874
526.74536;3.0;58.47022
455.06357;3.0;37.579247
600.98535;3.0;56.508766
570.30005;3.0;53.00417
449.89627;3.0;42.33322
496.9551;3.0;29.698772
458.54614;3.0;75.980415
473.0225;3.0;52.153194
466.97614;3.0;62.183025
435.5755;3.0;17.31778
479.90875;3.0;27.042528
723.8087;3.0;121.82523
900.26776;3.0;16.088469
204.28392;3.0;65.18469
389.59982;3.0;51.934254
225.85378;3.0;15.759338
769.11395;3.0;42.290382
346.81125;3.0;125.75972
331.10013;3.0;48.199306
417.85202;3.0;927.1072
379.10117;3.0;1101.8418
221.89153;3.0;47.655174
528.1888;3.0;83.820885
381.78864;3.0;55.791485
351.73276;3.0;1384.1722
903.81964;3.0;79.28191
605.3946;3.0;25.722017
832.6761;3.0;74.55839
340.9507;3.0;24.491646
585.9874;3.0;65.52172
575.9903;3.0;45.202793
559.132;3.0;43.226482
1243.3016;3.0;34.98814
579.46533;3.0;50.229126
290.76816;3.0;28.846876
268.9896;3.0;33.519257
537.63306;3.0;15.129571
269.86493;3.0;53.117252
393.28137;3.0;35.163948
1107.5657;3.0;73.00393
247.7528;3.0;53.964546
633.4072;3.0;60.367294
676.65497;3.0;190.24951
1346.5518;3.0;56.00013
1001.4587;3.0;40.932476
397.4547;3.0;36.815716
392.27228;3.0;56.35382
247.72646;3.0;57.804443
390.37695;3.0;216.77527
379.89264;3.0;85.61785
410.10526;3.0;72.86002
534.01044;3.0;149.59647
459.34222;3.0;73.14412
540.9829;3.0;159.90572
652.9331;3.0;55.327957
1382.201;3.0;172.55199
549.03284;3.0;139.34254
521.1825;3.0;74.699165
2103.688;3.0;363.3566
254.71274;3.0;38.429993
300.20557;3.0;181.55177
579.11774;3.0;34.671272
376.5349;3.0;39.27864
601.4129;3.0;127.76809
701.3713;3.0;51.23645
230.92789;3.0;54.64397
504.0206;3.0;21.353794
669.5085;3.0;47.470837
448.19858;3.0;48.732445
368.1546;3.0;53.88033
272.7022;3.0;82.85962
219.9883;3.0;7.6113405
681.2006;3.0;119.61819
348.3013;3.0;49.263428
249.80765;3.0;232.53508
281.545;3.0;64.370476
576.81665;3.0;38.39139
454.7903;3.0;80.717995
264.60864;3.0;89.46464
301.3539;3.0;9.651103
448.68738;3.0;37.00577
430.82007;3.0;44.910267
876.8466;3.0;115.05792
706.6623;3.0;107.30755
390.1085;3.0;560.2567
293.94995;3.0;37.61579
571.74506;3.0;53.92196
418.18738;3.0;43.296547
383.39688;3.0;30.081184
551.6876;3.0;31.208078
470.9547;3.0;36.340046
680.1154;3.0;114.72638
270.38376;3.0;44.05572
680.1154;3.0;159.49182
635.42114;3.0;22.912468
456.22495;3.0;40.56912
569.29114;3.0;84.25225
594.87256;3.0;52.417637
632.0251;3.0;59.78408
338.05542;3.0;52.008736
373.36987;3.0;22.628675
268.27582;3.0;43.836952
291.46594;3.0;60.530796
1003.7845;3.0;328.8106
732.7718;3.0;229.32309
231.3519;3.0;41.632305
413.13208;3.0;35.45368
529.17395;3.0;343.89896
344.6462;3.0;359.82956
638.0619;3.0;76.760155
774.57214;3.0;26.440254
846.41595;3.0;57.00059
786.5079;3.0;99.76576
494.74313;3.0;148.05687
257.5435;3.0;142.97551
842.3941;3.0;51.302822
250.26564;3.0;41.46063
287.9589;3.0;33.889107
363.33395;3.0;31.423206
354.3007;3.0;85.394585
277.7399;3.0;51.16797
400.84683;3.0;47.585655
241.89601;3.0;108.37948
1148.5104;3.0;56.830097
364.94888;3.0;13.119183
223.57124;3.0;108.469505
241.9854;3.0;127.5519
399.37982;3.0;42.953957
1057.0476;3.0;74.70337
406.07648;3.0;76.57142
434.49155;3.0;1641.8064
306.5813;3.0;54.709343
391.93332;3.0;65.50623
391.93332;3.0;134.65045
349.2303;3.0;53.775444
1034.0192;3.0;54.642822
247.3173;3.0;46.467358
352.53177;3.0;23.56978
346.1356;3.0;51.100906
293.46893;3.0;904.16815
835.5372;3.0;66.23538
373.63925;3.0;19.170095
795.6528;3.0;101.56914
342.79498;3.0;85.97624
600.2054;3.0;64.575386
205.69426;3.0;31.05233
296.43423;3.0;64.1978
263.31284;3.0;37.622086
281.41373;3.0;41.583107
292.37445;3.0;37.327965
527.5437;3.0;44.420612
438.21863;3.0;950.2729
220.49512;3.0;104.242386
396.39398;3.0;53.035522
444.79608;3.0;66.1207
292.9895;3.0;195.3374
240.17845;3.0;50.293907
810.6645;3.0;62.682816
706.49194;3.0;78.21982
810.6645;3.0;75.41412
390.1412;3.0;32.82607
382.40488;3.0;31.485739
458.9021;3.0;68.12991
230.2952;3.0;81.87915
342.8152;3.0;138.88406
380.89874;3.0;30.977577
1189.929;3.0;25.581879
1189.929;3.0;28.082796
343.74545;3.0;50.39678
277.77448;3.0;44.49968
338.0577;3.0;90.832924
486.6714;3.0;56.19526
486.6714;3.0;67.69374
329.44882;3.0;51.852203
707.95276;3.0;52.661316
236.3122;3.0;43.956005
293.21774;3.0;50.26188
502.53482;3.0;74.43853
321.8599;3.0;54.097927
439.07413;3.0;31.630554
511.196;3.0;106.8459
602.6426;3.0;82.283066
1841.3593;3.0;30.08053
587.1058;3.0;73.3965
496.4909;3.0;100.92475
638.56287;3.0;9.315488
449.5275;3.0;61.666046
276.01105;3.0;9.143181
309.39032;3.0;25.826632
991.51636;3.0;153.69043
293.58652;3.0;32.98343
331.97018;3.0;64.42157
386.0313;3.0;42.231007
366.49344;3.0;39.92632
470.0208;3.0;24.733093
341.44742;3.0;28.360394
315.44098;3.0;90.185646
916.5481;3.0;44.27996
281.16223;3.0;109.91312
712.1034;3.0;68.26083
249.6898;3.0;21.72466
461.86658;3.0;66.17402
543.0062;3.0;1168.5768
210.76814;3.0;44.883087
1345.9125;3.0;151.54436
740.60474;-1.0;12.188401
631.4;-1.0;143.21362
654.8718;-1.0;32.548466
377.02823;-1.0;84.52517
660.15607;-1.0;112.4437
548.954;-1.0;29.54927
1069.4602;-1.0;15.0351
592.25616;-1.0;371.7334
314.53568;-1.0;15.68432
345.94135;-1.0;703.1977
1213.861;-1.0;76.4481
409.32315;-1.0;73.6941
775.18243;-1.0;134.38281
822.9583;-1.0;543.39465
1799.3663;-1.0;784.3911
372.6215;-1.0;152.64328
206.00021;-1.0;174.04189
1105.1539;-1.0;212.2798
562.84314;-1.0;139.73083
1174.4998;-1.0;67.95036
572.95013;-1.0;173.58093
1496.8961;-1.0;139.28241
728.3233;-1.0;18.43224
438.2166;-1.0;122.09031
709.43756;-1.0;495.63934
412.01178;-1.0;42.228817
578.60144;-1.0;43.159935
560.9003;-1.0;225.12491
537.2596;-1.0;58.604332
721.3828;-1.0;143.46724
751.1504;-1.0;211.33759
694.144;-1.0;98.35497
461.01526;-1.0;301.21954
297.74017;-1.0;71.273506
492.26678;-1.0;158.78516
243.81863;-1.0;293.214
565.8329;-1.0;15.803567
692.3691;-1.0;56.716396
396.5566;-1.0;95.41138
452.09265;-1.0;100.51271
462.7014;-1.0;320.2721
878.5922;-1.0;125.42384
286.38885;-1.0;44.355267
708.70764;-1.0;210.27385
258.50848;-1.0;72.45127
290.24893;-1.0;27.79719
1364.5765;-1.0;34.93715
325.8248;-1.0;171.83623
1202.5824;-1.0;430.91003
551.40295;-1.0;29.011013
223.64543;-1.0;21.318565
437.6377;-1.0;257.69522
312.3907;-1.0;17.463272
862.56287;-1.0;26.420713
1348.5386;-1.0;172.6712